RaceNum,RaceName,Name
1,Daytona 500,Daytona International Speedway
2,DuraLube/Big K 400,North Carolina Speedway
3,Las Vegas 400,Las Vegas Motor Speedway
4,Cracker Barrel 500,Atlanta Motor Speedway
5,TranSouth Financial 400,Darlington Raceway
6,Primestar 500,Texas Motor Speedway
7,Food City 500,Bristol Motor Speedway
8,Goody's Body Pain 500,Martinsville Speedway
9,DieHard 500,Talladega Superspeedway
10,California 500,California Speedway
11,Pontiac Excitement 400,Richmond International Raceway
12,Coca-Cola 600,Lowe's Motor Speedway
13,MBNA Platinum 400,Dover Downs International Speedway
14,Kmart 400,Michigan Speedway
15,Pocono 500,Pocono Raceway
16,Save Mart/Kragen 350,Sears Point Raceway
17,Pepsi 400,Daytona International Speedway
18,Jiffy Lube 300,New Hampshire International Speedway
19,Pennsylvania 500,Pocono Raceway
20,Brickyard 400,Indianapolis Motor Speedway
21,Frontier at the Glen,Watkins Glen International
22,Pepsi 400,Michigan Speedway
23,Goody's Headache Powder 500,Bristol Motor Speedway
24,Pepsi Southern 500,Darlington Raceway
25,Exide NASCAR Select Batteries 400,Richmond International Raceway
26,Dura Lube/KMart 300,New Hampshire International Speedway
27,MBNA Gold 400,Dover Downs International Speedway
28,NAPA Autocare 500,Martinsville Speedway
29,UAW-GM Quality 500,Lowe's Motor Speedway
30,Winston 500,Talladega Superspeedway
31,Pop Secret Microwave Popcorn 400,North Carolina Speedway
32,Checker Auto Parts/Dura Lube 500,Phoenix International Raceway
33,Pennzoil 400,Homestead-Miami Speedway
34,NAPA 500,Atlanta Motor Speedway
