F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,25,T Barron,41,10,180,Running
2,4,2,R Wallace,41,2,175,Running
3,11,17,M Kenseth,41,0,165,Running
4,3,48,J Johnson,41,0,160,Running
5,5,97,K Busch,41,0,155,Running
6,9,32,R Craven,41,0,150,Running
7,10,31,R Gordon,41,0,146,Running
8,12,15,M Waltrip,41,0,142,Running
9,8,28,R Rudd,41,0,138,Running
10,27,8,D Earnhardt Jr.,40,0,134,Running
11,1,12,R Newman,40,17,140,Running
12,6,02,C Barron,40,0,127,Running
13,15,24,J Gordon,40,0,124,Running
14,19,20,T Stewart,40,12,126,Running
15,13,9,B Elliott,40,0,118,Running
16,35,77,D Blaney,40,0,115,Running
17,20,40,S Marlin,40,0,112,Running
18,7,99,J Burton,40,0,109,Running
19,21,45,K Petty,40,0,106,Running
20,33,22,W Burton,40,0,103,Running
21,16,88,D Jarrett,40,0,100,Running
22,18,6,M Martin,40,0,97,Running
23,14,18,B Labonte,40,0,94,Running
24,28,10,J Benson,40,0,91,Running
25,29,5,T Labonte,40,0,88,Running
26,24,21,E Sadler,40,0,85,Running
27,22,29,K Harvick,40,0,82,Running
28,30,43,J Andretti,40,0,79,Running
29,32,36,K Schrader,40,0,76,Running
30,31,4,M Skinner,40,0,73,Running
31,17,30,J Green,40,0,70,Running
32,26,41,J Spencer,40,0,67,Running
33,39,1,S Park,40,0,64,Running
34,34,7,C Atwood,40,0,61,Running
35,40,11,B Bodine,40,0,58,Running
36,37,26,T Bodine,40,0,55,Running
37,36,23,H Stricklin,40,0,52,Running
38,38,14,S Compton,39,0,49,Running
39,41,09,G Bodine,39,0,46,Running
40,42,44,S Grissom,39,0,43,Running
41,25,19,J Mayfield,36,0,40,Running
42,23,55,B Hamilton,33,0,37,Gearbox
