RaceNum,RaceName,Name
1,Daytona 500,Daytona International Speedway
2,DuraLube Kmart 400,North Carolina Speedway
3,CarsDirectcom 400,Las Vegas Motor Speedway
4,Cracker Barrel Old Country Store 500,Atlanta Motor Speedway
5,Mallcom 400,Darlington Raceway
6,Food City 500,Bristol Motor Speedway
7,DirecTV 500,Bristol Motor Speedway
8,Goody's Body Pain 500,Martinsville Speedway
9,DieHard 500,Talladega Superspeedway
10,NAPA Auto Parts 500,California Speedway
11,Pontiac Excitement 400,Richmond International Raceway
12,Coca-Cola 600,Lowe's Motor Speedway
13,MBNA Platinum 400,Dover Downs International Speedway
14,Kmart 400,Michigan Speedway
15,Pocono 500,Pocono Raceway
16,Save Mart Kragen 350,Sears Point Raceway
17,Pepsi 400,Daytona International Speedway
18,thatlookcom 300,New Hampshire International Speedway
19,Pennsylvania 500,Pocono Raceway
20,Brickyard 400,Indianapolis Motor Speedway
21,Global Crossing @ The Glen,Watkins Glen International
22,Pepsi 400,Michigan Speedway
23,Goracingcom 500,Bristol Motor Speedway
24,Pepsi Southern 500,Darlington Raceway
25,Chevy Monte Carlo 400,Richmond International Raceway
26,Dura Lube 300 Sponsored by Kmart,New Hampshire International Speedway
27,MBNAcom 400,Dover Downs International Speedway
28,NAPA Autocare 500,Martinsville Speedway
29,UAW-GM Quality 500,Lowe's Motor Speedway
30,Winston 500,Talladega Superspeedway
31,Pop Secret Microwave Popcorn 400,North Carolina Speedway
32,Checker Auto Parts Dura Lube 500,Phoenix International Raceway
33,Pennzoil 400,Homestead-Miami Speedway
34,NAPA 500,Atlanta Motor Speedway
